stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,radius
8503056:0:662,Ringlikon,47.360294,8.477428,"",Parent8503056,5.134968006585592
8503056:0:661,Ringlikon,47.360294,8.477428,"",Parent8503056,5.134968006585592
8503056,Ringlikon,47.360294,8.477428,"",Parent8503056,5.134968006585592
8503056:0:1,Ringlikon,47.360294,8.477428,"",Parent8503056,5.134968006585592
8590677,"Kilchberg ZH, Hornhaldenstr.",47.332108,8.541846,"","",5.129910205474065
8591284,"Zürich, Neeserweg",47.39059,8.474725,"","",5.125542816575897
8590510,"Dübendorf, Sport Heerenschürli",47.404472,8.595611,"","",5.098706312811568
8596113,"Dübendorf, Hochbord Süd",47.399006,8.600462,"","",5.098362314322109
8576187,"Zollikon, Allmend",47.342976,8.583097,"","",5.080624423289519
8591147,"Zürich, Friedhof Witikon",47.361343,8.602824,"","",5.078780721619987
8503100:0:2,Zollikon,47.337337,8.569739,"",Parent8503100,5.062225792632327
8503100:0:3,Zollikon,47.337337,8.569739,"",Parent8503100,5.062225792632327
Parent8503100,Zollikon,47.337337,8.569739,1,"",5.062225792632327
8503100P,Zollikon,47.337337,8.569739,1,"",5.062225792632327
8503100:0,Zollikon,47.337337,8.569739,"",Parent8503100,5.062225792632327
8591310,"Zürich, Rautihalde",47.386173,8.474105,"","",5.061577403805084
8576188,"Zollikon, Schützenstrasse",47.3449,8.585882,"","",5.057957296306527
8591286,"Zürich, Neubühl",47.33293,8.534947,"","",5.052329776457117
8591154,"Zürich, Frymannstrasse",47.335133,8.519146,"","",5.048157195731869
8576184,"Zollikon, Bahnhof",47.337765,8.569775,"","",5.020734106912107
8591358,"Zürich, Segantinistrasse",47.407444,8.489968,"","",4.994913188977176
8591187,"Zürich, Hertensteinstrasse",47.42288,8.54349,"","",4.982031496686306
8591141,"Zürich, Friedhof Eichbühl",47.382877,8.474536,"","",4.977942369944965
8591432,"Zürich, Wiesliacher",47.355213,8.596806,"","",4.974083403987821
8576185,"Zollikon, Gemeindehaus",47.34075,8.5759735,"","",4.962756771100344
8591435,"Zürich, Winzerstrasse",47.403767,8.486376,"","",4.957221206552477
8591436,"Zürich, Winzerstrasse Süd",47.403374,8.486124,"","",4.947850492665483
8591445,"Zürich, Zweiackerstrasse",47.35705,8.597883,"","",4.94330347611003
8594185,"Glattpark, Wright-Strasse",47.42052,8.559211,"","",4.9260679819836035
8590566,"Dübendorf, Hoffnung",47.396004,8.599958,"","",4.920701091167398
8503057,Uetliberg,47.352074,8.487553,"",Parent8503057,4.920168238150385
8503057:0:1,Uetliberg,47.352074,8.487553,"",Parent8503057,4.920168238150385
8503057:0:2,Uetliberg,47.352074,8.487553,"",Parent8503057,4.920168238150385
8503057:0:681,Uetliberg,47.352074,8.487553,"",Parent8503057,4.920168238150385
Parent8503057,Uetliberg,47.352074,8.487553,1,"",4.920168238150385
8503057:0:682,Uetliberg,47.352074,8.487553,"",Parent8503057,4.920168238150385
8591338,"Zürich, Schauenberg",47.4162,8.506929,"","",4.91959815497648
8591111,"Zürich, Dangelstrasse",47.33455,8.529971,"","",4.917675858395702
8591354,"Zürich, Seebach",47.421864,8.549779,"","",4.916085700451386
8591103,"Zürich, Buhnstrasse",47.422253,8.538945,"","",4.907191165080908
8591428,"Zürich, Werdhölzli",47.39783,8.482018,"","",4.901116069714668
8587652,"Zürich, Altried",47.40563,8.591002,"","",4.8976763883294625
8591143,"Zürich, Friedhof Hönggerberg",47.408936,8.494137,"","",4.876280072564055
8591830,"Glattpark, Glattpark",47.42038,8.556767,"","",4.860564064065148
8576203,"Zollikon, Dufourplatz",47.340435,8.572614,"","",4.860218607392779
8503655,Zollikon (See),47.338684,8.56752,"","",4.8547213955782125
8591162,"Zürich, Glockenacker",47.360977,8.599302,"","",4.848955197110815
8591049,"Zürich, Auzelg",47.41709,8.568841,"","",4.839159682480761
8591268,"Zürich, Manegg",47.336967,8.5203495,"","",4.825762773775054
8590318,"Zürich, Farbhof",47.391132,8.479171,"","",4.821367961221551
8591144,"Zürich, Friedhof Schwandenholz",47.42135,8.537759,"","",4.809176387347582
